Video Name,Frames,Sex,Hand,Background,Illumination,People in Scene,Background Motion,Set,,,,,,,,,
1CV12_13_R__95,4066,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_13_R__96,4556,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_16_R__105,4211,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CV12_16_R__106,4014,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CV12_16_R__107,4476,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CV12_16_R__108,4649,M,Right,Clutter,Light,Single,Dynamic,train,,,,,,,,,
1CV12_2_R__69,3950,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CV12_2_R__70,3856,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CV12_2_R__71,4011,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
1CV12_2_R__72,4029,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
1CV12_22_R__113,3760,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CV12_22_R__114,4055,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CV12_22_R__115,4445,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CV12_22_R__116,4048,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CV12_23_R__117,3657,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_23_R__118,3721,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_23_R__119,3748,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_23_R__120,3748,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_6_R__77,3641,M,Right,Clutter,Stable,Multi,Static,train,,,,,,,,,
1CV12_6_R__78,3931,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CV12_6_R__79,3827,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CV12_6_R__80,3905,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
1CV12_7_R__81,3673,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_7_R__82,3637,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_7_R__83,3690,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_7_R__84,3931,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_8_R__85,4146,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_8_R__86,4624,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_8_R__87,4510,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
1CV12_8_R__88,3856,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_1_R__13,3969,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_1_R__14,4046,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_1_R__15,3935,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_1_R__16,4209,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_10_R__53,3677,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_10_R__54,3729,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_10_R__55,3713,M,Right,Plain,Light,Single,Dynamic,train,,,,,,,,,
4CM11_10_R__56,3695,M,Right,Plain,Light,Single,Dynamic,train,,,,,,,,,
4CM11_11_R__1,4484,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_11_R__2,4709,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_11_R__3,3664,M,Left,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_11_R__4,4366,M,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_14_R__21,3732,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_14_R__22,3736,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_14_R__23,3747,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_14_R__24,3723,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_15_R__25,3722,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_15_R__26,3937,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_15_R__27,3892,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_15_R__28,3966,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_16_R__209,3680,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_16_R__210,3659,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_16_R__211,3757,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_16_R__212,3667,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_17_R__13,4905,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_17_R__14,4552,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_17_R__15,4492,M,Right,Plain,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_17_R__16,4762,M,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_19_R__17,3823,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_19_R__18,3756,W,Right,Clutter,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_19_R__19,3684,W,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_19_R__20,3718,W,Right,Clutter,Stable,Single,Dynamic,train,,,,,,,,,
4CM11_2_R__37,4047,W,Right,Plain,Stable,Single,Static,train,,,,,,,,,
4CM11_2_R__38,4081,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_2_R__39,3969,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_2_R__40,3924,W,Right,Clutter,Light,Single,Static,train,,,,,,,,,
4CM11_23_R__25,3719,W,Right,Plain,Light,Single,Static,train,,,,,,,,,
4CM11_23_R__26,3699,W,Right,Plain,Light,Single,Static,train,,,,,,,,,
4CM11_23_R__27,3661,W,Right,Plain,Light,Single,Static,train,,,,,,,,,
4CM11_23_R__28,3755,W,Right,Plain,Light,Single,Static,train,,,,,,,,,
4CM11_26_R__5,3789,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
4CM11_26_R__6,3863,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
4CM11_26_R__7,3798,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
4CM11_26_R__8,3965,M,Right,Clutter,Stable,Multi,Dynamic,train,,,,,,,,,
4CM11_29_R__57,3975,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_29_R__58,3916,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_29_R__59,3853,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_29_R__60,3897,M,Right,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_5_L__10,3765,M,Left,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_5_L__11,3706,M,Left,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_5_L__12,3724,M,Left,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_5_L__9,3712,M,Left,Clutter,Stable,Single,Static,train,,,,,,,,,
4CM11_7_R__33,3780,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
4CM11_7_R__34,4199,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
4CM11_7_R__35,4151,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
4CM11_7_R__36,3994,M,Right,Clutter,Light,Multi,Dynamic,train,,,,,,,,,
1CM1_1_R__217,3855,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM1_1_R__218,3656,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM1_1_R__219,3922,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM1_1_R__220,3890,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM1_2_R__221,3769,M,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM1_2_R__222,3651,M,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM1_2_R__223,3989,M,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM1_2_R__224,3823,M,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM1_3_R__225,4261,M,Right,Clutter ,Dark,Single,Static,test,,,,,,,,,
1CM1_3_R__226,4795,M,Right,Clutter ,Dark,Single,Static,test,,,,,,,,,
1CM1_3_R__227,5038,M,Right,Clutter ,Dark,Single,Static,test,,,,,,,,,
1CM1_3_R__228,4176,M,Right,Clutter,Dark,Single,Static,test,,,,,,,,,
1CM42_15_R__197,4124,W,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM42_15_R__198,4465,W,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM42_15_R__199,4243,W,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM42_15_R__200,4583,W,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM42_30_R__145,3760,M,Right,Clutter,Stable,Multi,Dynamic,test,,,,,,,,,
1CM42_30_R__146,3754,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM42_30_R__147,3691,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM42_30_R__148,3672,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM42_31_R__129,4043,W,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CM42_31_R__130,4465,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM42_31_R__131,4226,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CM42_31_R__132,4412,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CV12_12_R__89,4395,W,Right,Clutter,Light,Multi,Dynamic,test,,,,,,,,,
1CV12_12_R__90,4723,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CV12_12_R__91,4465,W,Right,Clutter,Light,Single,Static,test,,,,,,,,,
1CV12_12_R__92,4772,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CV12_15_R__101,3623,M,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CV12_15_R__102,3743,M,Right,Clutter,Stable,Single,Static,test,,,,,,,,,
1CV12_15_R__103,3634,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CV12_15_R__104,4047,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CV12_21_R__109,4776,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CV12_21_R__110,4491,W,Right,Clutter,Light,Single,Dynamic,test,,,,,,,,,
1CV12_21_R__111,4684,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
1CV12_21_R__112,4853,W,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_13_R__29,3841,M,Right,Plain,Stable,Single,Dynamic,test,,,,,,,,,
4CM11_13_R__30,3953,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_13_R__31,3945,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_13_R__32,3881,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_18_R__45,3664,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_18_R__46,3739,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_18_R__47,3691,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_18_R__48,3697,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_20_R__41,3746,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_20_R__42,3743,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_20_R__43,4005,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_20_R__44,4120,M,Right,Plain,Stable,Single,Static,test,,,,,,,,,
4CM11_24_L__61,4026,M,Right,Clutter,Light,Multi,Dynamic,test,,,,,,,,,
4CM11_24_L__62,3751,M,Right,Clutter,Light,Single,Dynamic,test,,,,,,,,,
4CM11_24_L__63,4000,M,Right,Clutter,Light,Single,Static,test,,,,,,,,,
4CM11_24_L__64,3920,M,Right,Clutter,Light,Single,Static,test,,,,,,,,,
